City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Tura,IN,25.5198,90.2201,56.23,67,1,2.98,clear sky
305,Codrington,AU,-38.2667,141.9667,71.33,53,100,11.12,light rain
306,Fairbanks,US,64.8378,-147.7164,-3.77,72,75,5.75,broken clouds
307,Svetlyy,RU,54.675,20.1347,35.96,97,100,23.26,overcast clouds
308,Odder,DK,55.9731,10.153,48.87,70,9,14.97,clear sky
309,Chaiya,TH,9.3862,99.1986,82.38,76,90,9.82,overcast clouds
310,Port Elizabeth,ZA,-33.918,25.5701,78.1,78,75,18.41,broken clouds
311,Kandalaksha,RU,67.162,32.4123,20.44,97,100,4.56,light snow
312,Marzuq,YE,14.4,46.4667,75.47,24,9,6.85,clear sky
313,Isangel,VU,-19.55,169.2667,79.95,89,100,21.16,overcast clouds
314,Bambous Virieux,MU,-20.3428,57.7575,83.21,69,75,10.36,broken clouds
315,Rio Gallegos,AR,-51.6226,-69.2181,53.65,43,0,27.63,clear sky
316,Russell,US,32.3502,-85.1999,37.38,93,0,0.0,clear sky
317,Abu Samrah,SY,35.3029,37.1841,60.04,47,97,10.94,overcast clouds
318,Tokat,TR,40.4167,36.5833,31.62,91,90,9.37,light snow
319,Wanning,CN,18.8003,110.3967,68.59,92,99,8.84,overcast clouds
320,Rudnichnyy,RU,59.617,52.4703,14.59,97,99,4.88,overcast clouds
321,Two Hills,CA,53.7169,-111.7518,34.52,86,100,14.97,overcast clouds
322,Yangjiang,CN,21.85,111.9667,58.95,78,100,8.95,overcast clouds
323,Binga,ZW,-17.6203,27.3414,81.54,63,44,5.37,light rain
324,Bengkulu,ID,-3.8004,102.2655,79.23,79,100,6.69,overcast clouds
325,Eydhafushi,MV,5.1033,73.0708,81.86,67,84,14.41,broken clouds
326,Batagay,RU,67.6333,134.6333,-42.81,98,100,2.73,overcast clouds
327,Jilib,SO,0.4883,42.7854,99.7,13,69,10.87,broken clouds
328,Aranos,NA,-24.1333,19.1167,87.46,27,97,2.28,overcast clouds
329,Martinsville,US,36.6915,-79.8725,35.49,98,0,0.0,clear sky
330,Nizhniy Odes,RU,63.6445,54.856,8.51,93,52,8.34,broken clouds
331,Mehamn,NO,71.0357,27.8492,26.51,88,42,16.78,scattered clouds
332,Alenquer,BR,-1.9417,-54.7383,77.34,88,29,3.83,scattered clouds
333,Jiwani,PK,25.05,61.7417,72.75,50,0,14.58,clear sky
334,Polovinnoye,RU,54.7914,65.9864,12.07,96,61,9.1,broken clouds
335,Rundu,NA,-17.9333,19.7667,83.44,39,94,6.69,overcast clouds
336,Aksu,CN,41.1231,80.2644,29.34,52,100,3.98,overcast clouds
337,Taoudenni,ML,22.6783,-3.9836,82.51,8,0,11.68,clear sky
338,San Cristobal,VE,7.7669,-72.225,66.38,63,88,1.99,overcast clouds
339,Caazapa,PY,-26.15,-56.4,79.38,30,0,4.16,clear sky
340,Gat,IL,31.61,34.7642,70.79,40,19,5.21,few clouds
341,Fugen,AT,47.35,11.85,46.4,74,61,2.35,broken clouds
342,Port Macquarie,AU,-31.4333,152.9167,64.89,84,4,4.61,clear sky
343,Nioro,GM,13.35,-15.75,97.93,6,0,11.21,clear sky
344,Durusu,TR,41.3053,28.6767,41.94,92,100,27.0,light rain
345,Hambantota,LK,6.1241,81.1185,80.94,78,40,5.75,scattered clouds
